"EVbar","dwal","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.05982e-03,1.02000e-03,1.06111e-03,5.34840e-01,6.52455e-01,4.96754e+01,4.98881e-04,0.00000e+00,4.96552e+01,5.18490e-04,0.00000e+00,1.16901e-02,-2.94665e+00,-7.04221e+03,8.02654e-02,-3.01761e+00,-7.00119e+03,0.00000e+00,1,1.02000e-03,9.70000e-01,1.02000e-03,0.00000e+00
1.08665e-03,1.05000e-03,1.08794e-03,5.37381e-01,6.57005e-01,4.98763e+01,7.03282e-04,0.00000e+00,4.98562e+01,7.50788e-04,0.00000e+00,1.11525e-02,-2.96611e+00,-6.87273e+03,7.97962e-02,-3.03711e+00,-6.83344e+03,0.00000e+00,1,1.05000e-03,9.70000e-01,1.05000e-03,0.00000e+00
1.11348e-03,1.08000e-03,1.11477e-03,5.39921e-01,6.61554e-01,5.00772e+01,9.07683e-04,0.00000e+00,5.00573e+01,9.83087e-04,0.00000e+00,1.06150e-02,-2.98558e+00,-6.70325e+03,7.93270e-02,-3.05661e+00,-6.66568e+03,0.00000e+00,1,1.08000e-03,9.70000e-01,1.08000e-03,0.00000e+00
1.14033e-03,1.11000e-03,1.14162e-03,5.41860e-01,6.64755e-01,5.02788e+01,1.10980e-03,0.00000e+00,5.02591e+01,1.20027e-03,0.00000e+00,1.04393e-02,-3.00713e+00,-6.53566e+03,7.91221e-02,-3.07799e+00,-6.49969e+03,0.00000e+00,1,1.11000e-03,9.70000e-01,1.11000e-03,0.00000e+00
1.16720e-03,1.14000e-03,1.16849e-03,5.42976e-01,6.66115e-01,5.04813e+01,1.30882e-03,0.00000e+00,5.04621e+01,1.39682e-03,0.00000e+00,1.07578e-02,-3.03153e+00,-6.37065e+03,7.92780e-02,-3.10191e+00,-6.33611e+03,0.00000e+00,1,1.14000e-03,9.70000e-01,1.14000e-03,0.00000e+00
1.19331e-03,1.17000e-03,1.19462e-03,5.43529e-01,6.66584e-01,5.06708e+01,1.44818e-03,0.00000e+00,5.06518e+01,1.54544e-03,0.00000e+00,1.07170e-02,-3.05205e+00,-6.22472e+03,7.92261e-02,-3.12243e+00,-6.19165e+03,0.00000e+00,1,1.17000e-03,9.70000e-01,1.17000e-03,0.00000e+00
1.21860e-03,1.20000e-03,1.21992e-03,5.44345e-01,6.67619e-01,5.08458e+01,1.56802e-03,0.00000e+00,5.08269e+01,1.68618e-03,0.00000e+00,1.02610e-02,-3.06842e+00,-6.10061e+03,7.88807e-02,-3.13912e+00,-6.06905e+03,0.00000e+00,1,1.20000e-03,9.70000e-01,1.20000e-03,0.00000e+00
1.24385e-03,1.23000e-03,1.24518e-03,5.46714e-01,6.71378e-01,5.10199e+01,1.76737e-03,0.00000e+00,5.10011e+01,1.90479e-03,0.00000e+00,9.75176e-03,-3.08484e+00,-5.97897e+03,7.84087e-02,-3.15553e+00,-5.94887e+03,0.00000e+00,1,1.23000e-03,9.70000e-01,1.23000e-03,0.00000e+00
1.26911e-03,1.26000e-03,1.27044e-03,5.49083e-01,6.75137e-01,5.11940e+01,1.96673e-03,0.00000e+00,5.11753e+01,2.12341e-03,0.00000e+00,9.24249e-03,-3.10126e+00,-5.85732e+03,7.79366e-02,-3.17194e+00,-5.82869e+03,0.00000e+00,1,1.26000e-03,9.70000e-01,1.26000e-03,0.00000e+00
1.29436e-03,1.29000e-03,1.29571e-03,5.51451e-01,6.78895e-01,5.13681e+01,2.16609e-03,0.00000e+00,5.13495e+01,2.34202e-03,0.00000e+00,8.73322e-03,-3.11769e+00,-5.73567e+03,7.74646e-02,-3.18835e+00,-5.70851e+03,0.00000e+00,1,1.29000e-03,9.70000e-01,1.29000e-03,0.00000e+00
1.31964e-03,1.32000e-03,1.32099e-03,5.52493e-01,6.79994e-01,5.15436e+01,2.38473e-03,0.00000e+00,5.15254e+01,2.55744e-03,0.00000e+00,9.05052e-03,-3.13713e+00,-5.61697e+03,7.76509e-02,-3.20733e+00,-5.59106e+03,0.00000e+00,1,1.32000e-03,9.70000e-01,1.32000e-03,0.00000e+00
1.34492e-03,1.35000e-03,1.34628e-03,5.53468e-01,6.80957e-01,5.17192e+01,2.60434e-03,0.00000e+00,5.17013e+01,2.77269e-03,0.00000e+00,9.40967e-03,-3.15672e+00,-5.49843e+03,7.78705e-02,-3.22644e+00,-5.47375e+03,0.00000e+00,1,1.35000e-03,9.70000e-01,1.35000e-03,0.00000e+00
1.36901e-03,1.38000e-03,1.37038e-03,5.53903e-01,6.81082e-01,5.18795e+01,2.72779e-03,0.00000e+00,5.18617e+01,2.90736e-03,0.00000e+00,9.24816e-03,-3.17232e+00,-5.39892e+03,7.77619e-02,-3.24207e+00,-5.37540e+03,0.00000e+00,1,1.38000e-03,9.70000e-01,1.38000e-03,0.00000e+00
1.39250e-03,1.41000e-03,1.39388e-03,5.54775e-01,6.81972e-01,5.20318e+01,2.84493e-03,0.00000e+00,5.20141e+01,3.04130e-03,0.00000e+00,8.81387e-03,-3.18598e+00,-5.30977e+03,7.74284e-02,-3.25590e+00,-5.28737e+03,0.00000e+00,1,1.41000e-03,9.70000e-01,1.41000e-03,0.00000e+00
1.41597e-03,1.44000e-03,1.41736e-03,5.56972e-01,6.85084e-01,5.21833e+01,3.03979e-03,0.00000e+00,5.21657e+01,3.24894e-03,0.00000e+00,8.35086e-03,-3.19970e+00,-5.22242e+03,7.69770e-02,-3.26956e+00,-5.20112e+03,0.00000e+00,1,1.44000e-03,9.70000e-01,1.44000e-03,0.00000e+00
