"Cf","EVbar","Normals:0","Normals:1","Normals:2","WssX","eddy visocity","pbar","pressure","ubar:0","ubar:1","ubar:2","velocity:0","velocity:1","velocity:2","vortBar:0","vortBar:1","vortBar:2","vorticity:0","vorticity:1","vorticity:2","wss","Points:0","Points:1","Points:2"
2.09697e-02,1.36609e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.89773e+01,1.36607e-06,7.94809e+00,7.65958e+00,1.72791e+00,2.69863e-04,0.00000e+00,1.72772e+00,3.00468e-04,0.00000e+00,-3.92348e-03,1.31284e-01,-3.49401e+06,-2.52025e-03,1.24805e-01,-3.49305e+06,0.00000e+00,2.53639e-04,5.00000e-07,-5.00000e-02
2.14309e-02,1.35595e-06,0.00000e+00,1.00000e+00,0.00000e+00,6.02744e+01,1.35627e-06,8.38968e+00,9.24015e+00,1.76696e+00,1.71508e-03,0.00000e+00,1.76834e+00,1.70777e-03,0.00000e+00,-6.75685e-03,3.39455e-01,-3.47605e+06,-3.50212e-03,3.25622e-01,-3.47429e+06,0.00000e+00,2.53639e-04,5.00000e-07,5.00000e-02
1.98527e-02,1.36979e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.58357e+01,1.36965e-06,7.43553e+00,7.07819e+00,1.63551e+00,3.18807e-03,0.00000e+00,1.63458e+00,3.25830e-03,0.00000e+00,1.44260e-02,2.65456e-01,-3.33830e+06,1.78229e-02,2.51774e-01,-3.33769e+06,0.00000e+00,2.79331e-04,5.00000e-07,-5.00000e-02
2.02481e-02,1.36800e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.69477e+01,1.36830e-06,1.23336e+01,1.32212e+01,1.66826e+00,-1.16288e-03,0.00000e+00,1.66943e+00,-1.27972e-03,0.00000e+00,1.87958e-02,2.95707e-01,-3.29431e+06,2.32785e-02,2.76609e-01,-3.29291e+06,0.00000e+00,2.79331e-04,5.00000e-07,5.00000e-02
1.90119e-02,1.31279e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.34710e+01,1.31280e-06,9.53868e+00,9.19659e+00,1.57149e+00,-2.15536e-04,0.00000e+00,1.57128e+00,-1.92331e-04,0.00000e+00,-2.88717e-03,1.57239e-01,-3.17463e+06,-1.49332e-03,1.50356e-01,-3.17405e+06,0.00000e+00,3.07400e-04,5.00000e-07,-5.00000e-02
1.93216e-02,1.30511e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.43420e+01,1.30537e-06,4.52576e+00,5.42839e+00,1.59781e+00,1.94865e-03,0.00000e+00,1.59911e+00,1.91727e-03,0.00000e+00,-1.53448e-02,2.00083e-01,-3.15695e+06,-1.24698e-02,1.86277e-01,-3.15546e+06,0.00000e+00,3.07400e-04,5.00000e-07,5.00000e-02
1.81388e-02,1.31869e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.10154e+01,1.31862e-06,1.11068e+01,1.07212e+01,1.49881e+00,2.69126e-03,0.00000e+00,1.49787e+00,2.72766e-03,0.00000e+00,8.50616e-03,1.47415e-01,-3.04087e+06,1.14669e-02,1.34612e-01,-3.04034e+06,0.00000e+00,3.38429e-04,5.00000e-07,-5.00000e-02
1.83769e-02,1.31876e-06,0.00000e+00,1.00000e+00,0.00000e+00,5.16851e+01,1.31895e-06,1.05903e+01,1.14704e+01,1.51848e+00,-1.32505e-03,0.00000e+00,1.51952e+00,-1.39758e-03,0.00000e+00,2.93285e-02,1.96554e-01,-2.99887e+06,3.33968e-02,1.79920e-01,-2.99769e+06,0.00000e+00,3.38429e-04,5.00000e-07,5.00000e-02
1.73112e-02,1.25551e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.86876e+01,1.25552e-06,7.61265e+00,7.25711e+00,1.43575e+00,-5.44813e-05,0.00000e+00,1.43525e+00,-1.58673e-05,0.00000e+00,-1.46388e-03,5.13866e-02,-2.87638e+06,-2.83248e-05,4.46071e-02,-2.87612e+06,0.00000e+00,3.72486e-04,5.00000e-07,-5.00000e-02
1.74606e-02,1.27353e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.91078e+01,1.27383e-06,6.94448e+00,7.80893e+00,1.44660e+00,6.04555e-05,0.00000e+00,1.44767e+00,2.10941e-05,0.00000e+00,-1.06452e-04,1.32386e-01,-2.88375e+06,2.92240e-03,1.19616e-01,-2.88271e+06,0.00000e+00,3.72486e-04,5.00000e-07,5.00000e-02
1.65484e-02,1.26992e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.65423e+01,1.27012e-06,9.26959e+00,1.01005e+01,1.37132e+00,3.41172e-03,0.00000e+00,1.37229e+00,3.36207e-03,0.00000e+00,-3.55577e-02,2.64307e-03,-2.76732e+06,-3.31238e-02,-1.06862e-02,-2.76665e+06,0.00000e+00,4.09969e-04,5.00000e-07,4.99788e-02
1.65482e-02,1.26992e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.65419e+01,1.27012e-06,9.26994e+00,1.01011e+01,1.37131e+00,3.41245e-03,0.00000e+00,1.37227e+00,3.36279e-03,0.00000e+00,-3.55649e-02,2.63275e-03,-2.76729e+06,-3.31308e-02,-1.06980e-02,-2.76663e+06,0.00000e+00,4.09977e-04,5.00000e-07,5.00000e-02
1.65482e-02,1.26992e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.65419e+01,1.27012e-06,9.26954e+00,1.01005e+01,1.37131e+00,3.41145e-03,0.00000e+00,1.37227e+00,3.36180e-03,0.00000e+00,-3.55592e-02,2.61811e-03,-2.76728e+06,-3.31251e-02,-1.07117e-02,-2.76662e+06,0.00000e+00,4.09977e-04,5.00000e-07,4.99788e-02
1.66157e-02,1.26243e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.67316e+01,1.26253e-06,7.37628e+00,7.03845e+00,1.37750e+00,-1.31384e-03,0.00000e+00,1.37645e+00,-1.28800e-03,0.00000e+00,-8.41585e-03,-6.65041e-02,-2.72337e+06,-6.39703e-03,-7.57235e-02,-2.72317e+06,0.00000e+00,4.09977e-04,5.00000e-07,-5.00000e-02
1.59474e-02,1.23484e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.48521e+01,1.23483e-06,7.29717e+00,6.94715e+00,1.32425e+00,9.85762e-04,0.00000e+00,1.32393e+00,1.00425e-03,0.00000e+00,1.27513e-02,-1.04856e-01,-2.63464e+06,1.40670e-02,-1.09599e-01,-2.63427e+06,0.00000e+00,4.51566e-04,5.00000e-07,-5.00000e-02
1.57476e-02,1.22835e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.42901e+01,1.22842e-06,1.21684e+01,1.29993e+01,1.30817e+00,-9.77154e-04,0.00000e+00,1.30921e+00,-1.03314e-03,0.00000e+00,4.90771e-03,-1.78262e-02,-2.61073e+06,7.51627e-03,-2.71965e-02,-2.60975e+06,0.00000e+00,4.51566e-04,5.00000e-07,5.00000e-02
1.49376e-02,1.19589e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.20119e+01,1.19594e-06,6.30140e+00,5.95656e+00,1.24326e+00,8.33642e-05,0.00000e+00,1.24300e+00,1.11698e-04,0.00000e+00,-2.41657e-03,9.01147e-02,-2.51300e+06,-1.54835e-03,8.66470e-02,-2.51243e+06,0.00000e+00,4.97650e-04,5.00000e-07,-5.00000e-02
1.52503e-02,1.18990e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.28915e+01,1.19002e-06,7.84583e+00,8.67798e+00,1.26974e+00,1.33347e-03,0.00000e+00,1.27067e+00,1.33574e-03,0.00000e+00,-6.94667e-03,2.21532e-01,-2.49958e+06,-4.90530e-03,2.14317e-01,-2.49861e+06,0.00000e+00,4.97650e-04,5.00000e-07,5.00000e-02
1.41829e-02,1.19721e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.98894e+01,1.19722e-06,6.17115e+00,5.77911e+00,1.18035e+00,1.76260e-03,0.00000e+00,1.17951e+00,1.84505e-03,0.00000e+00,9.64893e-03,1.59825e-01,-2.40482e+06,1.18945e-02,1.52689e-01,-2.40452e+06,0.00000e+00,5.48151e-04,5.00000e-07,-5.00000e-02
1.44055e-02,1.20060e-06,0.00000e+00,1.00000e+00,0.00000e+00,4.05156e+01,1.20075e-06,1.10138e+01,1.19013e+01,1.19864e+00,-1.49337e-03,0.00000e+00,1.19941e+00,-1.58805e-03,0.00000e+00,1.21387e-02,1.89294e-01,-2.37224e+06,1.52691e-02,1.79450e-01,-2.37155e+06,0.00000e+00,5.48151e-04,5.00000e-07,5.00000e-02
1.35994e-02,1.15088e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.82482e+01,1.15092e-06,7.71225e+00,7.31832e+00,1.13490e+00,-1.47845e-04,0.00000e+00,1.13464e+00,-1.33498e-04,0.00000e+00,-3.37794e-03,1.18229e-01,-2.29176e+06,-2.34751e-03,1.14745e-01,-2.29151e+06,0.00000e+00,6.02340e-04,5.00000e-07,-5.00000e-02
1.38553e-02,1.14733e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.89681e+01,1.14743e-06,6.85635e+00,7.71578e+00,1.15651e+00,1.75387e-03,0.00000e+00,1.15731e+00,1.72906e-03,0.00000e+00,-1.26764e-02,1.74614e-01,-2.28174e+06,-1.07741e-02,1.67855e-01,-2.28104e+06,0.00000e+00,6.02340e-04,5.00000e-07,5.00000e-02
1.29736e-02,1.15444e-06,0.00000e+00,1.00000e+00,0.00000e+00,3.64882e+01,1.15448e-06,6.87698e+00,6.45710e+00,1.08245e+00,1.96802e-03,0.00000e+00,1.08167e+00,2.02251e-03,0.00000e+00,1.01056e-02,1.19139e-01,-2.20029e+06,1.17435e-02,1.12953e-01,-2.20007e+06,0.00000e+00,6.60601e-04,5.00000e-07,-5.00000e-02
